"aeg";"D_kogus";"D_hind_ee";"D_hind_lv";"D_hind_lt";"Veoautod registris";"D_akt";"SKP_ph";"Barrel";"kurss"
31.03.2003;54,0;;;;80892;162,97;3506,5;31,5;0,932
30.06.2003;53,0;;;;81769;162,97;3923,3;26,2;0,880
30.09.2003;64,6;;;;82555;162,97;3849,5;28,4;0,889
31.12.2003;71,6;;;;83430;162,97;4055,1;29,4;0,841
31.03.2004;81,0;;;;83959;162,97;3864,9;31,9;0,799
30.06.2004;78,0;;;;84547;162,97;4081,4;35,4;0,830
30.09.2004;73,6;;;;85135;245,42;4109,5;41,4;0,818
31.12.2004;86,7;;;;85732;245,42;4316,4;44,2;0,772
31.03.2005;79,6;725,2;715,2;739,5;85827;245,42;4034,6;47,7;0,763
30.06.2005;89,8;782,7;785,1;800,4;85948;245,42;4529,0;51,6;0,794
30.09.2005;89,5;848,8;849,4;871,4;86070;245,42;4549,5;61,5;0,820
31.12.2005;93,7;857,5;860,4;887,1;86201;245,42;4812,8;56,9;0,841
31.03.2006;90,4;870,6;847,0;888,1;87598;245,42;4465,0;61,8;0,831
30.06.2006;103,2;887,4;909,1;909,6;89340;245,42;4934,6;69,5;0,796
30.09.2006;114,5;888,2;894,4;908,3;91233;245,42;4992,6;69,6;0,785
31.12.2006;114,1;835,3;838,3;845,6;92860;245,42;5275,9;59,7;0,775
31.03.2007;111,0;826,1;847,5;828,1;89633;245,42;4889,3;57,8;0,763
30.06.2007;130,2;827,8;876,9;866,9;86080;245,42;5393,0;68,6;0,742
30.09.2007;125,3;862,4;892,9;882,1;83182;245,42;5327,0;75,0;0,727
31.12.2007;124,5;947,1;978,4;933,5;80280;245,42;5548,4;88,6;0,690
31.03.2008;129,1;1107,0;1055,5;1050,7;81236;330,1;4667,1;96,9;0,667
30.06.2008;110,7;1218,0;1167,8;1183,3;82098;330,1;5297,9;121,4;0,640
30.09.2008;129,5;1237,2;1171,1;1180,5;82838;330,1;5213,6;114,4;0,666
31.12.2008;105,4;1020,2;991,0;965,4;83350;330,1;4902,5;54,7;0,761
31.03.2009;93,6;846,4;874,7;885,9;82741;330,1;4112,0;44,4;0,768
30.06.2009;112,3;861,9;902,0;894,3;82200;330,1;4378,5;58,7;0,735
30.09.2009;85,6;946,4;940,8;890,3;81698;369,89;4213,9;68,2;0,699
31.12.2009;95,4;981,1;954,1;886,6;81111;369,89;4478,2;74,6;0,676
31.03.2010;106,1;1071,4;1011,1;959,0;81128;392,93;4047,1;76,2;0,722
30.06.2010;96,6;1112,9;1078,7;1030,1;81150;392,93;4464,7;78,5;0,787
30.09.2010;99,7;1098,5;1068,7;1029,5;81176;392,93;4457,3;76,8;0,774
31.12.2010;104,6;1141,0;1104,2;1057,9;81204;392,93;4678,6;86,5;0,736
31.03.2011;100,0;1258,4;1233,9;1191,8;81879;392,93;4353,8;105,0;0,732
30.06.2011;97,9;1234,4;1264,6;1242,9;82671;392,93;4820,4;117,4;0,695
30.09.2011;115,5;1246,3;1261,9;1238,1;83514;392,93;4884,0;113,3;0,708
31.12.2011;114,3;1322,5;1324,7;1269,3;84337;392,93;4902,7;109,4;0,742
31.03.2012;134,2;1398,3;1385,1;1332,7;85162;392,93;4534,3;118,5;0,763
30.06.2012;122,7;1341,7;1355,0;1328,4;86158;392,93;4972,1;108,4;0,780
30.09.2012;143,4;1357,4;1367,2;1335,6;87061;392,93;4991,0;109,6;0,799
31.12.2012;143,5;1389,9;1379,9;1327,1;88045;392,93;5053,2;110,1;0,771
31.03.2013;124,0;1367,8;1360,4;1343,9;89046;392,93;4686,3;112,5;0,758
30.06.2013;129,6;1290,6;1281,2;1300,1;90114;392,93;5040,4;102,6;0,766
30.09.2013;154,7;1306,1;1308,2;1327,3;91138;392,93;5022,8;110,2;0,755
31.12.2013;145,3;1317,3;1278,1;1317,9;92182;392,93;5064,4;109,2;0,735
31.03.2014;133,0;1321,5;1292,8;1299,9;93331;392,93;4695,6;108,0;0,730
30.06.2014;152,6;1279,5;1277,6;1292,9;94443;392,93;5153,3;109,7;0,729
30.09.2014;164,5;1258,4;1259,6;1270,3;95492;392,93;5164,6;101,9;0,755
31.12.2014;156,0;1212,6;1196,9;1202,8;96622;392,93;5392,2;76,4;0,800
31.03.2015;155,6;1108,5;1073,7;1057,5;97889;392,93;4741,9;54,0;0,889
30.06.2015;172,0;1139,7;1120,1;1139,9;99188;392,93;5319,8;61,6;0,905
30.09.2015;185,4;1035,8;1056,5;1091,3;100498;392,93;5302,8;50,4;0,899
31.12.2015;186,7;1041,7;996,1;1003,5;101770;392,93;5417,7;43,6;0,913
31.03.2016;178,7;958,2;896,9;884,4;103287;448;5033,0;33,7;0,908
30.06.2016;172,6;1028,5;934,7;942,2;105059;448;5386,9;45,5;0,886
30.09.2016;185,7;1054,4;962,0;966,6;106701;448;5403,8;45,8;0,896
31.12.2016;183,3;1081,9;1008,7;994,2;108217;448;5621,0;49,1;0,927
31.03.2017;168,0;1195,5;1091,1;1054,4;109896;493;5262,9;53,6;0,939
30.06.2017;167,0;1148,0;1034,1;1032,6;111583;493;5741,9;49,5;0,908
30.09.2017;175,0;1141,6;985,7;996,5;113211;493;5611,4;52,1;0,852
31.12.2017;174,0;1215,0;1073,3;1032,6;114780;493;6007,7;61,4;0,849
31.03.2018;178,7;1271,8;1133,0;1084,9;116535;493;5482,5;66,9;0,814
30.06.2018;184,8;1286,1;1176,0;1140,7;118433;493;5940,8;74,5;0,840
30.09.2018;178,5;1313,1;1213,8;1173,1;120130;493;5890,1;75,1;0,860
31.12.2018;179,6;1359,5;1247,7;1205,2;121612;493;6296,0;68,0;0,876
31.03.2019;190,5;1298,5;1181,7;1112,5;124161;493;5763,2;63,1;0,880
30.06.2019;179,7;1348,2;1224,7;1166,5;126878;493;6134,0;69,0;0,890
30.09.2019;191,8;1317,3;1187,4;1143,6;129142;493;6259,6;61,9;0,899
31.12.2019;183,5;1346,4;1199,1;1142,4;131115;493;6632,2;63,2;0,903
31.03.2020;162,4;1335,8;1188,4;1122,5;132304;493;5702,0;50,3;0,907
30.06.2020;179,9;1056,7;957,7;919,6;133157;412;5702,4;29,7;0,908
30.09.2020;213,8;997,0;1036,3;973,1;134279;372;6105,1;42,9;0,855
31.12.2020;211,5;981,1;993,9;959,9;135352;372;6552,7;44,3;0,838
31.03.2021;180,8;1175,6;1133,6;1088,3;135412;372;5630,8;60,0;0,827
30.06.2021;;1197,9;1189,7;1102,2;;372;5928,0;62,6;0,831
